cluster,count,mean,median,std,top_attributes
0,1596,"{""BALANCE"":3989.3268042155,""BALANCE_FREQUENCY"":0.9579801003,""PURCHASES"":384.5282769424,""ONEOFF_PURCHASES"":248.7181328321,""INSTALLMENTS_PURCHASES"":135.8876315789,""CASH_ADVANCE"":3869.8568551303,""PURCHASES_FREQUENCY"":0.2322901873,""ONEOFF_PURCHASES_FREQUENCY"":0.1109424862,""PURCHASES_INSTALLMENTS_FREQUENCY"":0.1442422431,""CASH_ADVANCE_FREQUENCY"":0.4471762895,""CASH_ADVANCE_TRX"":12.3903508772,""PURCHASES_TRX"":5.6121553885,""CREDIT_LIMIT"":6682.9602415132,""PAYMENTS"":3018.9072024392,""MINIMUM_PAYMENTS"":1809.307212946,""PRC_FULL_PAYMENT"":0.0337744198,""TENURE"":11.350877193}","{""BALANCE"":3460.591743,""BALANCE_FREQUENCY"":1.0,""PURCHASES"":0.0,""ONEOFF_PURCHASES"":0.0,""INSTALLMENTS_PURCHASES"":0.0,""CASH_ADVANCE"":3108.691798,""PURCHASES_FREQUENCY"":0.0,""ONEOFF_PURCHASES_FREQUENCY"":0.0,""PURCHASES_INSTALLMENTS_FREQUENCY"":0.0,""CASH_ADVANCE_FREQUENCY"":0.416667,""CASH_ADVANCE_TRX"":10.0,""PURCHASES_TRX"":0.0,""CREDIT_LIMIT"":6000.0,""PAYMENTS"":1648.48073,""MINIMUM_PAYMENTS"":1107.030803,""PRC_FULL_PAYMENT"":0.0,""TENURE"":12.0}","{""BALANCE"":2683.2979456068,""BALANCE_FREQUENCY"":0.115848706,""PURCHASES"":738.6512992788,""ONEOFF_PURCHASES"":574.7629600392,""INSTALLMENTS_PURCHASES"":349.3236274622,""CASH_ADVANCE"":3388.5912025656,""PURCHASES_FREQUENCY"":0.3274179983,""ONEOFF_PURCHASES_FREQUENCY"":0.2024851817,""PURCHASES_INSTALLMENTS_FREQUENCY"":0.2800910072,""CASH_ADVANCE_FREQUENCY"":0.2213380091,""CASH_ADVANCE_TRX"":11.2649430233,""PURCHASES_TRX"":10.7647667532,""CREDIT_LIMIT"":3750.2160498876,""PAYMENTS"":3951.8395588011,""MINIMUM_PAYMENTS"":3679.6032147271,""PRC_FULL_PAYMENT"":0.1012463146,""TENURE"":1.5196742705}","CASH_ADVANCE_FREQUENCY, CASH_ADVANCE, CASH_ADVANCE_TRX, BALANCE, CREDIT_LIMIT"
1,1235,"{""BALANCE"":2220.0032912964,""BALANCE_FREQUENCY"":0.9814771312,""PURCHASES"":4268.5209797571,""ONEOFF_PURCHASES"":2717.8285425101,""INSTALLMENTS_PURCHASES"":1551.1782672065,""CASH_ADVANCE"":458.4211469482,""PURCHASES_FREQUENCY"":0.9490927668,""ONEOFF_PURCHASES_FREQUENCY"":0.6681655862,""PURCHASES_INSTALLMENTS_FREQUENCY"":0.7445841806,""CASH_ADVANCE_FREQUENCY"":0.0630137247,""CASH_ADVANCE_TRX"":1.5287449393,""PURCHASES_TRX"":56.4720647773,""CREDIT_LIMIT"":7733.967611336,""PAYMENTS"":4151.2761717158,""MINIMUM_PAYMENTS"":1227.1837656509,""PRC_FULL_PAYMENT"":0.2986315012,""TENURE"":11.9230769231}","{""BALANCE"":1239.889457,""BALANCE_FREQUENCY"":1.0,""PURCHASES"":3129.67,""ONEOFF_PURCHASES"":1789.7,""INSTALLMENTS_PURCHASES"":1089.92,""CASH_ADVANCE"":0.0,""PURCHASES_FREQUENCY"":1.0,""ONEOFF_PURCHASES_FREQUENCY"":0.75,""PURCHASES_INSTALLMENTS_FREQUENCY"":0.916667,""CASH_ADVANCE_FREQUENCY"":0.0,""CASH_ADVANCE_TRX"":0.0,""PURCHASES_TRX"":44.0,""CREDIT_LIMIT"":7000.0,""PAYMENTS"":2764.893686,""MINIMUM_PAYMENTS"":384.2844495,""PRC_FULL_PAYMENT"":0.083333,""TENURE"":12.0}","{""BALANCE"":2578.1132120648,""BALANCE_FREQUENCY"":0.0740614774,""PURCHASES"":4271.0917937024,""ONEOFF_PURCHASES"":3627.676264111,""INSTALLMENTS_PURCHASES"":1863.7943520673,""CASH_ADVANCE"":1327.3024152818,""PURCHASES_FREQUENCY"":0.1155196141,""ONEOFF_PURCHASES_FREQUENCY"":0.3122917911,""PURCHASES_INSTALLMENTS_FREQUENCY"":0.3259930277,""CASH_ADVANCE_FREQUENCY"":0.1342460034,""CASH_ADVANCE_TRX"":4.443935787,""PURCHASES_TRX"":43.0103808117,""CREDIT_LIMIT"":4348.7873045275,""PAYMENTS"":4792.1063615783,""MINIMUM_PAYMENTS"":3594.6959862785,""PRC_FULL_PAYMENT"":0.3839766529,""TENURE"":0.5323355376}","PURCHASES_TRX, ONEOFF_PURCHASES_FREQUENCY, PURCHASES, ONEOFF_PURCHASES, INSTALLMENTS_PURCHASES"
2,6119,"{""BALANCE"":799.7025761464,""BALANCE_FREQUENCY"":0.8351875302,""PURCHASES"":505.5323941821,""ONEOFF_PURCHASES"":253.1201307403,""INSTALLMENTS_PURCHASES"":252.7330609577,""CASH_ADVANCE"":329.866775502,""PURCHASES_FREQUENCY"":0.4650715316,""ONEOFF_PURCHASES_FREQUENCY"":0.1323333161,""PURCHASES_INSTALLMENTS_FREQUENCY"":0.3451449786,""CASH_ADVANCE_FREQUENCY"":0.0683159479,""CASH_ADVANCE_TRX"":1.2116358882,""PURCHASES_TRX"":8.6538650106,""CREDIT_LIMIT"":3269.5935903658,""PAYMENTS"":909.7296140644,""MINIMUM_PAYMENTS"":533.3306548881,""PRC_FULL_PAYMENT"":0.1557496692,""TENURE"":11.4788364112}","{""BALANCE"":424.809549,""BALANCE_FREQUENCY"":1.0,""PURCHASES"":304.6,""ONEOFF_PURCHASES"":0.0,""INSTALLMENTS_PURCHASES"":78.47,""CASH_ADVANCE"":0.0,""PURCHASES_FREQUENCY"":0.416667,""ONEOFF_PURCHASES_FREQUENCY"":0.0,""PURCHASES_INSTALLMENTS_FREQUENCY"":0.166667,""CASH_ADVANCE_FREQUENCY"":0.0,""CASH_ADVANCE_TRX"":0.0,""PURCHASES_TRX"":6.0,""CREDIT_LIMIT"":2500.0,""PAYMENTS"":569.815997,""MINIMUM_PAYMENTS"":213.6464835,""PRC_FULL_PAYMENT"":0.0,""TENURE"":12.0}","{""BALANCE"":956.2155540158,""BALANCE_FREQUENCY"":0.2680033958,""PURCHASES"":596.7311423457,""ONEOFF_PURCHASES"":481.4666392358,""INSTALLMENTS_PURCHASES"":395.6999770212,""CASH_ADVANCE"":654.2774548539,""PURCHASES_FREQUENCY"":0.3801463498,""ONEOFF_PURCHASES_FREQUENCY"":0.2212367991,""PURCHASES_INSTALLMENTS_FREQUENCY"":0.3833800788,""CASH_ADVANCE_FREQUENCY"":0.1060984909,""CASH_ADVANCE_TRX"":2.1243975561,""PURCHASES_TRX"":9.4949349558,""CREDIT_LIMIT"":2649.0906377994,""PAYMENTS"":1125.4484042016,""MINIMUM_PAYMENTS"":1261.489395382,""PRC_FULL_PAYMENT"":0.2910984841,""TENURE"":1.3851952298}","PRC_FULL_PAYMENT, TENURE, PURCHASES_INSTALLMENTS_FREQUENCY, PURCHASES_FREQUENCY, MINIMUM_PAYMENTS"
